

This is the final analysis:
The best mean reward is 691.1160135523795 after episode 1500

Statistics for episode 500
               state/in_storage/vendor_0:   18.89 (mean),   16.76 (median),    8.83 (std),    4.20 (min),   51.84 (max)
               state/in_storage/vendor_1:   13.07 (mean),   11.17 (median),    6.30 (std),    5.48 (min),   47.94 (max)

Statistics for episode 1500
                                a/reward:  691.12 (mean),  695.20 (median),   71.32 (std),  454.50 (min),  879.38 (max)
              actions/price_new/vendor_0:    6.59 (mean),    6.57 (median),    0.48 (std),    5.57 (min),    7.98 (max)
              actions/price_new/vendor_1:    5.59 (mean),    5.58 (median),    0.48 (std),    4.61 (min),    6.97 (max)
            actions/price_rebuy/vendor_0:    0.35 (mean),    0.29 (median),    0.26 (std),    0.15 (min),    2.34 (max)
            actions/price_rebuy/vendor_1:    0.76 (mean),    0.77 (median),    0.29 (std),    0.02 (min),    2.58 (max)
      actions/price_refurbished/vendor_0:    4.58 (mean),    4.36 (median),    1.06 (std),    3.08 (min),    8.36 (max)
      actions/price_refurbished/vendor_1:    3.92 (mean),    3.74 (median),    0.88 (std),    2.65 (min),    6.78 (max)
                    customer/buy_nothing:  227.79 (mean),  223.50 (median),   34.06 (std),  152.00 (min),  416.00 (max)
         customer/purchases_new/vendor_0:  176.69 (mean),  176.00 (median),   39.42 (std),   85.00 (min),  269.00 (max)
         customer/purchases_new/vendor_1:  294.02 (mean),  294.50 (median),   56.38 (std),  151.00 (min),  434.00 (max)
 customer/purchases_refurbished/vendor_0:  114.15 (mean),  117.00 (median),   40.33 (std),    9.00 (min),  203.00 (max)
 customer/purchases_refurbished/vendor_1:  182.07 (mean),  182.00 (median),   63.36 (std),   17.00 (min),  312.00 (max)
                   owner/rebuys/vendor_0:   83.53 (mean),   82.00 (median),   34.33 (std),    9.00 (min),  168.00 (max)
                   owner/rebuys/vendor_1:  144.30 (mean),  146.50 (median),   57.69 (std),   17.00 (min),  263.00 (max)
                        owner/throw_away:  243.72 (mean),  226.00 (median),   81.26 (std),  103.00 (min),  672.00 (max)
                    profits/all/vendor_0:  691.12 (mean),  695.20 (median),   71.32 (std),  454.50 (min),  879.38 (max)
                    profits/all/vendor_1:  596.80 (mean),  629.84 (median),  173.24 (std), -385.48 (min),  963.42 (max)
         profits/by_selling_new/vendor_0:  500.87 (mean),  503.35 (median),  105.65 (std),  235.86 (min),  783.17 (max)
         profits/by_selling_new/vendor_1:  580.74 (mean),  585.91 (median),  105.04 (std),  280.15 (min),  995.94 (max)
 profits/by_selling_refurbished/vendor_0:  348.78 (mean),  355.91 (median),  116.80 (std),   30.31 (min),  573.99 (max)
 profits/by_selling_refurbished/vendor_1:  267.34 (mean),  288.60 (median),  147.90 (std), -649.99 (min),  536.08 (max)
             profits/rebuy_cost/vendor_0:  -36.61 (mean),  -34.07 (median),   17.55 (std), -112.14 (min),   -5.24 (max)
             profits/rebuy_cost/vendor_1: -187.51 (mean), -189.97 (median),   80.77 (std), -385.93 (min),    0.00 (max)
           profits/storage_cost/vendor_0: -121.93 (mean), -121.30 (median),   46.92 (std), -264.60 (min),  -27.40 (max)
           profits/storage_cost/vendor_1:  -63.77 (mean),  -53.00 (median),   33.51 (std), -257.40 (min),  -29.10 (max)
                    state/in_circulation:  226.73 (mean),  223.39 (median),   48.45 (std),   85.88 (min),  345.00 (max)
               state/in_storage/vendor_0:   25.00 (mean),   24.91 (median),    9.65 (std),    5.48 (min),   54.36 (max)
               state/in_storage/vendor_1:   13.51 (mean),   11.46 (median),    7.02 (std),    5.84 (min),   53.02 (max)

Statistics for episode 2000
                                a/reward:  678.57 (mean),  680.59 (median),   82.36 (std),  451.10 (min),  883.28 (max)
              actions/price_new/vendor_0:    6.86 (mean),    6.85 (median),    0.49 (std),    5.78 (min),    8.27 (max)
              actions/price_new/vendor_1:    5.85 (mean),    5.84 (median),    0.49 (std),    4.80 (min),    7.29 (max)
            actions/price_rebuy/vendor_0:    0.37 (mean),    0.31 (median),    0.26 (std),    0.17 (min),    2.37 (max)
            actions/price_rebuy/vendor_1:    0.83 (mean),    0.83 (median),    0.30 (std),    0.02 (min),    2.73 (max)
      actions/price_refurbished/vendor_0:    4.49 (mean),    4.09 (median),    0.84 (std),    3.55 (min),    7.75 (max)
      actions/price_refurbished/vendor_1:    3.92 (mean),    3.68 (median),    0.70 (std),    2.96 (min),    6.87 (max)
