

This is the final analysis:
The best mean reward is 138.7073737742625 after episode 5038

Statistics for episode 1750
           profits/storage_cost/vendor_0: -144.04 (mean), -124.40 (median),   79.48 (std), -427.30 (min),  -25.10 (max)
           profits/storage_cost/vendor_1: -160.47 (mean), -119.35 (median),  118.64 (std), -481.70 (min),  -25.80 (max)
           profits/storage_cost/vendor_2: -238.62 (mean), -216.30 (median),  136.64 (std), -497.30 (min),  -62.50 (max)
           profits/storage_cost/vendor_3: -450.02 (mean), -469.85 (median),   54.62 (std), -499.90 (min), -253.20 (max)
           profits/storage_cost/vendor_4:  -78.46 (mean),  -66.25 (median),   40.70 (std), -283.70 (min),  -34.50 (max)
                    state/in_circulation:  271.78 (mean),  272.93 (median),   48.59 (std),  162.84 (min),  371.04 (max)
               state/in_storage/vendor_0:   29.36 (mean),   25.34 (median),   16.18 (std),    5.00 (min),   86.22 (max)
               state/in_storage/vendor_1:   32.66 (mean),   24.59 (median),   23.86 (std),    5.28 (min),   96.42 (max)
               state/in_storage/vendor_2:   47.72 (mean),   43.41 (median),   27.31 (std),   12.22 (min),   99.46 (max)
               state/in_storage/vendor_3:   88.98 (mean),   92.68 (median),   11.35 (std),   48.72 (min),   99.94 (max)
               state/in_storage/vendor_4:   16.51 (mean),   14.08 (median),    8.60 (std),    6.74 (min),   58.48 (max)

Statistics for episode 3500
                                a/reward: -111.05 (mean),  -60.33 (median),  171.97 (std), -1126.96 (min),   82.73 (max)
              actions/price_new/vendor_0:    3.24 (mean),    3.32 (median),    0.48 (std),    1.83 (min),    4.06 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.00 (max)
              actions/price_new/vendor_2:    8.61 (mean),    8.64 (median),    0.27 (std),    7.82 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.04 (mean),    4.03 (median),    0.03 (std),    4.00 (min),    4.15 (max)
            actions/price_rebuy/vendor_0:    0.58 (mean),    0.57 (median),    0.18 (std),    0.21 (min),    1.07 (max)
            actions/price_rebuy/vendor_1:    0.92 (mean),    0.93 (median),    0.29 (std),    0.15 (min),    1.75 (max)
            actions/price_rebuy/vendor_2:    0.36 (mean),    0.30 (median),    0.33 (std),    0.02 (min),    1.80 (max)
