

This is the final analysis:
The best mean reward is 694.5411531413556 after episode 1500

Statistics for episode 1500
               state/in_storage/vendor_0:   25.52 (mean),   25.28 (median),   10.07 (std),    3.94 (min),   51.26 (max)
               state/in_storage/vendor_1:   13.08 (mean),   10.47 (median),    9.46 (std),    4.52 (min),   93.72 (max)

Statistics for episode 4500
                                a/reward:  648.70 (mean),  661.52 (median),  101.88 (std),  327.04 (min),  920.21 (max)
              actions/price_new/vendor_0:    7.14 (mean),    7.11 (median),    0.58 (std),    5.80 (min),    8.65 (max)
              actions/price_new/vendor_1:    6.12 (mean),    6.09 (median),    0.57 (std),    4.77 (min),    7.57 (max)
            actions/price_rebuy/vendor_0:    0.32 (mean),    0.26 (median),    0.21 (std),    0.10 (min),    1.84 (max)
            actions/price_rebuy/vendor_1:    0.86 (mean),    0.92 (median),    0.32 (std),    0.02 (min),    1.74 (max)
      actions/price_refurbished/vendor_0:    4.83 (mean),    4.49 (median),    1.22 (std),    3.25 (min),    9.61 (max)
      actions/price_refurbished/vendor_1:    4.33 (mean),    4.16 (median),    0.85 (std),    2.82 (min),    7.64 (max)
                    customer/buy_nothing:  301.17 (mean),  298.00 (median),   47.95 (std),  152.00 (min),  460.00 (max)
         customer/purchases_new/vendor_0:  143.32 (mean),  139.00 (median),   46.63 (std),   45.00 (min),  287.00 (max)
         customer/purchases_new/vendor_1:  282.46 (mean),  280.00 (median),   65.85 (std),  143.00 (min),  462.00 (max)
 customer/purchases_refurbished/vendor_0:  101.12 (mean),  105.50 (median),   39.24 (std),    0.00 (min),  181.00 (max)
 customer/purchases_refurbished/vendor_1:  166.85 (mean),  171.00 (median),   59.11 (std),    1.00 (min),  299.00 (max)
                   owner/rebuys/vendor_0:   65.14 (mean),   58.00 (median),   29.72 (std),    8.00 (min),  198.00 (max)
                   owner/rebuys/vendor_1:  129.41 (mean),  126.00 (median),   51.79 (std),    9.00 (min),  267.00 (max)
                        owner/throw_away:  246.76 (mean),  216.50 (median),  110.16 (std),  111.00 (min),  764.00 (max)
                    profits/all/vendor_0:  648.70 (mean),  661.52 (median),  101.88 (std),  327.04 (min),  920.21 (max)
                    profits/all/vendor_1:  738.81 (mean),  758.87 (median),  168.49 (std),  103.60 (min), 1072.65 (max)
         profits/by_selling_new/vendor_0:  471.69 (mean),  463.12 (median),  134.76 (std),  169.18 (min),  898.31 (max)
         profits/by_selling_new/vendor_1:  713.52 (mean),  719.44 (median),  123.11 (std),  402.88 (min), 1111.07 (max)
 profits/by_selling_refurbished/vendor_0:  335.49 (mean),  356.66 (median),  123.63 (std),    0.00 (min),  575.04 (max)
 profits/by_selling_refurbished/vendor_1:  281.66 (mean),  295.10 (median),  117.47 (std), -212.78 (min),  523.43 (max)
             profits/rebuy_cost/vendor_0:  -28.02 (mean),  -22.09 (median),   20.23 (std), -137.96 (min),   -1.18 (max)
             profits/rebuy_cost/vendor_1: -183.32 (mean), -189.07 (median),   76.37 (std), -383.99 (min),    0.00 (max)
           profits/storage_cost/vendor_0: -130.46 (mean), -127.35 (median),   52.74 (std), -290.10 (min),  -33.30 (max)
           profits/storage_cost/vendor_1:  -73.04 (mean),  -46.90 (median),   79.93 (std), -493.10 (min),  -26.10 (max)
                    state/in_circulation:  210.43 (mean),  206.32 (median),   46.79 (std),  117.72 (min),  350.42 (max)
               state/in_storage/vendor_0:   26.81 (mean),   26.32 (median),   10.95 (std),    6.52 (min),   59.00 (max)
               state/in_storage/vendor_1:   15.36 (mean),   10.09 (median),   16.02 (std),    5.04 (min),   98.88 (max)

Statistics for episode 6000
                                a/reward:  632.79 (mean),  638.01 (median),  109.72 (std),  330.26 (min),  896.97 (max)
              actions/price_new/vendor_0:    7.06 (mean),    7.07 (median),    0.68 (std),    5.58 (min),    8.50 (max)
              actions/price_new/vendor_1:    6.04 (mean),    6.05 (median),    0.67 (std),    4.62 (min),    7.45 (max)
            actions/price_rebuy/vendor_0:    0.43 (mean),    0.38 (median),    0.24 (std),    0.08 (min),    2.11 (max)
            actions/price_rebuy/vendor_1:    0.89 (mean),    0.95 (median),    0.36 (std),    0.02 (min),    2.19 (max)
      actions/price_refurbished/vendor_0:    4.79 (mean),    4.33 (median),    1.31 (std),    3.63 (min),    9.66 (max)
      actions/price_refurbished/vendor_1:    4.25 (mean),    4.06 (median),    0.91 (std),    2.94 (min),    7.68 (max)
                    customer/buy_nothing:  301.22 (mean),  302.00 (median),   49.57 (std),  169.00 (min),  445.00 (max)
         customer/purchases_new/vendor_0:  148.59 (mean),  145.50 (median),   57.34 (std),   37.00 (min),  304.00 (max)
         customer/purchases_new/vendor_1:  274.76 (mean),  273.50 (median),   75.10 (std),  119.00 (min),  466.00 (max)
 customer/purchases_refurbished/vendor_0:  105.51 (mean),  109.00 (median),   40.43 (std),    0.00 (min),  180.00 (max)
 customer/purchases_refurbished/vendor_1:  165.28 (mean),  168.00 (median),   59.75 (std),    1.00 (min),  296.00 (max)
                   owner/rebuys/vendor_0:   75.22 (mean),   69.00 (median),   31.03 (std),    7.00 (min),  163.00 (max)
                   owner/rebuys/vendor_1:  129.48 (mean),  126.00 (median),   49.57 (std),    7.00 (min),  240.00 (max)
                        owner/throw_away:  240.15 (mean),  205.50 (median),  112.42 (std),   94.00 (min),  706.00 (max)
                    profits/all/vendor_0:  632.79 (mean),  638.01 (median),  109.72 (std),  330.26 (min),  896.97 (max)
                    profits/all/vendor_1:  688.89 (mean),  703.45 (median),  162.46 (std),  150.02 (min), 1056.17 (max)
         profits/by_selling_new/vendor_0:  461.98 (mean),  461.12 (median),  148.30 (std),  126.38 (min),  845.89 (max)
         profits/by_selling_new/vendor_1:  650.70 (mean),  658.84 (median),  107.78 (std),  384.31 (min),  932.26 (max)
 profits/by_selling_refurbished/vendor_0:  367.52 (mean),  394.32 (median),  148.25 (std),    0.00 (min),  642.41 (max)
 profits/by_selling_refurbished/vendor_1:  304.45 (mean),  326.09 (median),  127.01 (std), -108.50 (min),  544.74 (max)
             profits/rebuy_cost/vendor_0:  -44.47 (mean),  -40.67 (median),   24.34 (std), -137.23 (min),   -0.16 (max)
             profits/rebuy_cost/vendor_1: -186.45 (mean), -195.72 (median),   78.85 (std), -355.18 (min),    0.00 (max)
           profits/storage_cost/vendor_0: -152.25 (mean), -144.70 (median),   63.42 (std), -302.30 (min),  -31.10 (max)
           profits/storage_cost/vendor_1:  -79.80 (mean),  -48.15 (median),   90.36 (std), -497.40 (min),  -23.60 (max)
                    state/in_circulation:  212.45 (mean),  202.72 (median),   52.87 (std),  106.90 (min),  360.60 (max)
               state/in_storage/vendor_0:   31.06 (mean),   30.07 (median),   12.93 (std),    5.94 (min),   61.52 (max)
               state/in_storage/vendor_1:   16.68 (mean),   10.49 (median),   18.03 (std),    4.78 (min),   99.36 (max)

