

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
           profits/storage_cost/vendor_0: -152.90 (mean), -140.15 (median),   92.11 (std), -427.20 (min),   -6.50 (max)
           profits/storage_cost/vendor_1:  -70.46 (mean),  -60.25 (median),   42.03 (std), -204.90 (min),  -15.50 (max)
           profits/storage_cost/vendor_2: -151.80 (mean), -122.50 (median),   87.68 (std), -449.70 (min),  -53.80 (max)
           profits/storage_cost/vendor_3: -415.26 (mean), -456.90 (median),  103.75 (std), -499.10 (min),  -38.20 (max)
           profits/storage_cost/vendor_4:  -80.31 (mean),  -68.55 (median),   41.23 (std), -219.90 (min),  -29.80 (max)
                    state/in_circulation:  238.18 (mean),  218.41 (median),   59.36 (std),  137.28 (min),  346.64 (max)
               state/in_storage/vendor_0:   31.24 (mean),   28.57 (median),   18.74 (std),    1.38 (min),   86.26 (max)
               state/in_storage/vendor_1:   14.99 (mean),   13.00 (median),    8.95 (std),    3.16 (min),   42.72 (max)
               state/in_storage/vendor_2:   31.09 (mean),   25.26 (median),   17.99 (std),   10.52 (min),   90.60 (max)
               state/in_storage/vendor_3:   82.08 (mean),   90.48 (median),   20.96 (std),    6.96 (min),   99.76 (max)
               state/in_storage/vendor_4:   16.90 (mean),   14.59 (median),    8.77 (std),    6.00 (min),   45.80 (max)

Statistics for episode 10000
                                a/reward:  221.54 (mean),  233.64 (median),   66.44 (std), -166.81 (min),  362.25 (max)
              actions/price_new/vendor_0:    4.90 (mean),    4.90 (median),    0.34 (std),    3.75 (min),    5.65 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.02 (max)
              actions/price_new/vendor_2:    8.48 (mean),    8.50 (median),    0.30 (std),    7.60 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.46 (mean),    4.45 (median),    0.15 (std),    4.13 (min),    4.81 (max)
            actions/price_rebuy/vendor_0:    0.34 (mean),    0.33 (median),    0.22 (std),    0.00 (min),    1.06 (max)
